city_name,2-Trips,3-Trips,4-Trips,5-Trips,6-Trips,7-Trips,8-Trips,9-Trips,10-Trips
Chandigarh,32.3077,19.2505,15.7396,12.2091,7.4162,5.4832,3.4714,2.3274,1.7949
Coimbatore,11.2113,14.8177,15.5625,20.6194,17.6401,10.4665,6.1544,2.3128,1.2152
Indore,34.3404,22.6857,13.4008,10.3381,6.8459,5.2384,3.2567,2.3836,1.5105
Jaipur,50.1446,20.7292,12.1153,6.2900,4.1314,2.5201,1.9004,1.1981,0.9709
Kochi,47.6659,24.3509,11.8148,6.4778,3.9077,2.1112,1.6522,1.2064,0.8130
Lucknow,9.6593,14.7650,16.2030,18.4224,20.1834,11.3265,6.4291,1.9068,1.1045
Mysore,48.7475,24.4414,12.7285,5.8226,4.0623,1.7603,1.4218,0.5416,0.4739
Surat,9.7592,14.2626,16.5548,19.7499,18.4533,11.8893,6.2399,1.7365,1.3545
Vadodara,9.8711,14.1740,16.5209,18.0626,19.0750,12.8624,5.7754,2.0479,1.6107
Visakhapatnam,51.2529,24.9608,9.9843,5.4424,3.1911,1.9773,1.3900,0.8810,0.9201
